date,symbol,close,currency
2026-07-06,.NDX,25000,USD
2026-07-06,NVDA,150,USD
2026-07-06,AVGO,275,USD
2026-07-06,MSFT,498,USD
2026-07-06,TSM,228,USD
2026-07-07,.NDX,25120,USD
2026-07-07,NVDA,153,USD
2026-07-07,AVGO,278,USD
2026-07-07,MSFT,500,USD
2026-07-07,TSM,231,USD
2026-07-08,.NDX,24980,USD
2026-07-08,NVDA,151,USD
2026-07-08,AVGO,276,USD
2026-07-08,MSFT,496,USD
2026-07-08,TSM,230,USD
2026-07-09,.NDX,25350,USD
2026-07-09,NVDA,157,USD
2026-07-09,AVGO,282,USD
2026-07-09,MSFT,505,USD
2026-07-09,TSM,236,USD
2026-07-10,.NDX,25520,USD
2026-07-10,NVDA,160,USD
2026-07-10,AVGO,286,USD
2026-07-10,MSFT,510,USD
2026-07-10,TSM,239,USD
2026-07-13,.NDX,25410,USD
2026-07-13,NVDA,158,USD
2026-07-13,AVGO,284,USD
2026-07-13,MSFT,508,USD
2026-07-13,TSM,237,USD
2026-07-14,.NDX,25700,USD
2026-07-14,NVDA,163,USD
2026-07-14,AVGO,291,USD
2026-07-14,MSFT,514,USD
2026-07-14,TSM,242,USD
2026-07-15,.NDX,25840,USD
2026-07-15,NVDA,165,USD
2026-07-15,AVGO,294,USD
2026-07-15,MSFT,516,USD
2026-07-15,TSM,245,USD
2026-07-16,.NDX,25760,USD
2026-07-16,NVDA,164,USD
2026-07-16,AVGO,292,USD
2026-07-16,MSFT,515,USD
2026-07-16,TSM,244,USD
2026-07-17,.NDX,26000,USD
2026-07-17,NVDA,168,USD
2026-07-17,AVGO,298,USD
2026-07-17,MSFT,520,USD
2026-07-17,TSM,249,USD
